"en","zh"
"Building Public Safety","<U+5927><U+53A6><U+516C><U+5171><U+5B89><U+5168>"
"Making Baltimore Equitable","<U+5236><U+4F5C><U+5DF4><U+5C14><U+7684><U+6469><U+516C><U+5E73>"
"Prioritizing Our Youth","<U+4F18><U+5148><U+9752><U+5C11><U+5E74><U+53C2><U+4E0E>"
"Building Public Trust","<U+5EFA><U+7ACB><U+516C><U+4F17><U+4FE1><U+4EFB>"
"COVID-19 Recovery","COVID-19<U+6062><U+590D>"
"Responsible Stewardship of City Resources","<U+57CE><U+5E02><U+8D44><U+6E90><U+7684><U+8D1F><U+8D23><U+4EFB><U+7684><U+7BA1><U+7406>"
"Create Mayor's Office of Neighborhood Safety and Engagement.","<U+521B><U+5EFA><U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4><U+3002>"
"Establish monthly PoliceStat meetings to build stronger accountability within BPD and improve service delivery.","<U+5EFA><U+7ACB><U+6BCF><U+6708>PoliceStat<U+4F1A><U+8BAE><U+4E2D>BPD<U+5EFA><U+7ACB><U+66F4><U+5F3A><U+5927><U+7684><U+95EE><U+8D23><U+5236><U+548C><U+63D0><U+9AD8><U+670D><U+52A1><U+8D28><U+91CF><U+3002>"
"Set clear, coordinated public safety vision that addresses violence today and root causes.","<U+8BBE><U+5B9A><U+6E05><U+6670>,<U+534F><U+8C03><U+516C><U+5171><U+5B89><U+5168><U+613F><U+666F><U+5730><U+5740><U+66B4><U+529B><U+4ECA><U+5929><U+548C><U+6839><U+672C><U+539F><U+56E0><U+3002>"
"Task Mayor's Office of Neighborhood Safety and Engagement with coordinating public safety strategy.","<U+4EFB><U+52A1><U+5E02><U+957F><U+7684><U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+529E><U+516C><U+5BA4><U+8D1F><U+8D23><U+534F><U+8C03><U+516C><U+4F17><U+5B89><U+5168><U+7B56><U+7565><U+3002>"
"Introduce local housing voucher program.","<U+4ECB><U+7ECD><U+5F53><U+5730><U+4F4F><U+623F><U+5238><U+65B9><U+6848><U+3002>"
"Adopt and support Complete Streets manual increase quality of life and mobility in Baltimore.","<U+91C7><U+7528><U+5E76><U+652F><U+6301><U+5B8C><U+6574><U+8857><U+9053><U+751F><U+6D3B><U+548C><U+6D41><U+52A8><U+6027><U+7684><U+624B><U+52A8><U+63D0><U+9AD8><U+8D28><U+91CF><U+5728><U+5DF4><U+5C14><U+7684><U+6469><U+3002>"
"Begin implementing a Group Violence Reduction Strategy.","<U+5F00><U+59CB><U+5B9E><U+65BD><U+96C6><U+56E2><U+51CF><U+5C11><U+66B4><U+529B><U+6218><U+7565><U+3002>"
"Proactively deploy City agencies to address environmental concerns that contribute to neighborhood safety.","<U+79EF><U+6781><U+90E8><U+7F72><U+5E02><U+673A><U+6784><U+6709><U+52A9><U+4E8E><U+90BB><U+91CC><U+5B89><U+5168><U+89E3><U+51B3><U+73AF><U+5883><U+95EE><U+9898><U+3002>"
"Meet with community leaders and residents around a shared vision for public safety.","<U+4F1A><U+89C1><U+5404><U+5730><U+5BF9><U+516C><U+5171><U+5B89><U+5168><U+7684><U+5171><U+540C><U+613F><U+666F><U+793E><U+533A><U+9886><U+5BFC><U+548C><U+5C45><U+6C11><U+3002>"
"Convene the first meeting of the Public Safety Advisory Commission.","<U+53EC><U+5F00><U+516C><U+5171><U+5B89><U+5168><U+987E><U+95EE><U+59D4><U+5458><U+4F1A><U+7684><U+7B2C><U+4E00><U+6B21><U+4F1A><U+8BAE><U+3002>"
"Hire Baltimore's first Chief Equity Officer.","<U+8058><U+8BF7><U+5DF4><U+5C14><U+7684><U+6469><U+7684><U+7B2C><U+4E00><U+4F4D><U+9996><U+5E2D><U+80A1><U+6743><U+5B98><U+3002>"
"Hire a Digital Equity Director.","<U+8058><U+8BF7><U+4E00><U+4E2A><U+6570><U+5B57><U+80A1><U+6743><U+8463><U+4E8B><U+3002>"
"Identify a senior official in each agency to be responsible for equity and sustainable action.","<U+786E><U+5B9A><U+6BCF><U+4E2A><U+673A><U+6784><U+7684><U+4E00><U+540D><U+9AD8><U+7EA7><U+5B98><U+5458><U+8D1F><U+8D23><U+516C><U+5E73><U+548C><U+53EF><U+6301><U+7EED><U+7684><U+884C><U+52A8><U+3002>"
"Commit to Baltimore's zero waste goals and begin shifts toward a more sustainable city.","<U+63D0><U+4EA4><U+5230><U+5DF4><U+5C14><U+7684><U+6469><U+7684><U+96F6><U+500D><U+6D6A><U+8D39><U+7684><U+76EE><U+6807>,<U+5E76><U+5F00><U+59CB><U+79FB><U+5411><U+53EF><U+6301><U+7EED><U+53D1><U+5C55><U+7684><U+57CE><U+5E02><U+3002>"
"Elevate Sustainability Director to a cabinet-level position.","<U+63D0><U+5347><U+53EF><U+6301><U+7EED><U+53D1><U+5C55><U+603B><U+76D1><U+7684><U+5185><U+9601><U+7EA7><U+5730><U+4F4D><U+3002>"
"Remove the most vulnerable residents from tax sale.","<U+4ECE><U+9500><U+552E><U+7A0E><U+4E2D><U+53D6><U+51FA><U+6700><U+8106><U+5F31><U+7684><U+5C45><U+6C11><U+3002>"
"Announce a back-to-basics community development strategy that centers community input.","<U+5BA3><U+5E03><U+80CC><U+5230><U+57FA><U+672C><U+793E><U+4F1A><U+53D1><U+5C55><U+6218><U+7565>,<U+4E2D><U+5FC3><U+793E><U+533A><U+8F93><U+5165><U+3002>"
"Create a Neighborhood Stat to track progress on retention, attraction, and growth in neighborhoods.","<U+521B><U+5EFA><U+4E00><U+4E2A><U+90BB><U+5C45>Stat<U+516C><U+53F8><U+5BF9><U+4FDD><U+7559><U+7684><U+5438><U+5F15><U+529B>,<U+5E76><U+5728><U+793E><U+533A><U+589E><U+957F><U+7684><U+8F68><U+9053><U+4E0A><U+524D><U+8FDB><U+3002>"
"Begin top-to-bottom review of the procurement process.","<U+5F00><U+59CB><U+9876><U+90E8><U+5230><U+5E95><U+90E8><U+7684><U+91C7><U+8D2D><U+8FC7><U+7A0B><U+7684><U+5BA1><U+67E5><U+3002>"
"Activate small and local business preference in the procurement process.","<U+6FC0><U+6D3B><U+5728><U+91C7><U+8D2D><U+8FC7><U+7A0B><U+4E2D><U+7684><U+5C0F>,<U+672C><U+5730><U+4F01><U+4E1A><U+4F18><U+5148><U+3002>"
"Prioritize tracking data for City developments and projects that receive TIFs around local hiring and workforce development.","<U+4E3A><U+57CE><U+5E02><U+7684><U+53D1><U+5C55><U+548C><U+9879><U+76EE>,<U+6536><U+5230><U+5404><U+5730><U+96C7><U+4F63><U+5F53><U+5730><U+5458><U+5DE5><U+548C><U+52B3><U+52A8><U+529B><U+53D1><U+5C55>TIFS<U+4F18><U+5148><U+5316><U+8DDF><U+8E2A><U+6570><U+636E><U+3002>"
"Establish a Hiring Task Force to review HR practices, policy interventions, best practices, and barriers through a lens of equity and meet workforce needs.","<U+901A><U+8FC7><U+516C><U+5E73><U+548C><U+6EE1><U+8DB3><U+52B3><U+52A8><U+529B><U+7684><U+9700><U+6C42><U+955C><U+5934><U+5EFA><U+7ACB><U+4E00><U+4E2A><U+62DB><U+8058><U+4E13><U+8D23><U+5C0F><U+7EC4><U+68C0><U+8BA8><U+4EBA><U+529B><U+8D44><U+6E90><U+7684><U+505A><U+6CD5>,<U+653F><U+7B56><U+5E72><U+9884>,<U+6700><U+4F73><U+5B9E><U+8DF5><U+548C><U+969C><U+788D><U+3002>"
"Establish a resident preference program for City jobs.","<U+5EFA><U+7ACB><U+57CE><U+5E02><U+5DE5><U+4F5C><U+7684><U+5C45><U+6C11><U+504F><U+597D><U+7A0B><U+5E8F><U+3002>"
"Prioritize the Baltimore Greenway Trails Network.","<U+4F18><U+5148><U+5DF4><U+5C14><U+7684><U+6469><U+6797><U+836B><U+9053><U+8DEF><U+7EBF><U+7F51><U+7EDC><U+3002>"
"Join Climate Mayors in supporting the spirit and goals of the Paris Climate Agreement.","<U+52A0><U+5165><U+652F><U+6301><U+7CBE><U+795E><U+548C><U+5DF4><U+9ECE><U+7684><U+6C14><U+5019><U+534F><U+8BAE><U+7684><U+76EE><U+6807><U+6C14><U+5019><U+5E02><U+957F><U+3002>"
"Support the overrides of the Blueprint for Maryland's Future and Built to Learn.","<U+652F><U+6301><U+84DD><U+56FE><U+7684><U+8986><U+76D6><U+9A6C><U+91CC><U+5170><U+5DDE><U+7684><U+672A><U+6765><U+548C><U+5185><U+7F6E><U+5B66><U+4E60><U+3002>"
"Prepare to significantly increase the capacity of virtual YouthWorks in 2021.","<U+51C6><U+5907><U+663E><U+8457><U+589E><U+52A0><U+865A><U+62DF>YouthWorks<U+7684><U+5BB9><U+91CF><U+5728>2021<U+5E74><U+3002>"
"Begin implementation of the Elijah Cummings Healing City Act to ensure trauma-informed practice across city government.","<U+5F00><U+59CB><U+5B9E><U+65BD><U+4EE5><U+5229><U+4E9A><U+5361><U+660E><U+65AF><U+6108><U+5408><U+5E02><U+6CD5><U+6848>,<U+4EE5><U+786E><U+4FDD><U+5728><U+5E02><U+653F><U+5E9C><U+521B><U+4F24><U+660E><U+667A><U+7684><U+505A><U+6CD5><U+3002>"
"Develop plan for equitable and age-appropriate access in partnership with sports, arts, and cultural institutions that create recreational services during this unprecedented pandemic.","<U+5728><U+5408><U+4F5C><U+516C><U+5E73><U+548C><U+5E74><U+9F84><U+9002><U+5F53><U+7684><U+8BBF><U+95EE><U+4E0E><U+4F53><U+80B2>,<U+827A><U+672F>,<U+800C><U+8FD9><U+4E00><U+53F2><U+65E0><U+524D><U+4F8B><U+7684><U+5927><U+6D41><U+884C><U+671F><U+95F4><U+521B><U+5EFA><U+5A31><U+4E50><U+670D><U+52A1><U+7684><U+6587><U+5316><U+673A><U+6784><U+53D1><U+5C55><U+89C4><U+5212><U+3002>"
"Hire Baltimore's first Chief Administrative Officer.","<U+8058><U+8BF7><U+5DF4><U+5C14><U+7684><U+6469><U+7684><U+7B2C><U+4E00><U+4F4D><U+9996><U+5E2D><U+884C><U+653F><U+5B98><U+3002>"
"Kick off community engagement plan to introduce Chief Administrative Officer and other senior officials to public.","<U+5F00><U+7403><U+793E><U+533A><U+53C2><U+4E0E><U+8BA1><U+5212><U+5F15><U+5165><U+884C><U+653F><U+4E3B><U+4EFB><U+548C><U+5176><U+4ED6><U+9AD8><U+7EA7><U+5B98><U+5458><U+516C><U+5F00><U+3002>"
"Establish a regular Stat program to ensure greater accountability and more equitable service delivery across City government.","<U+5EFA><U+7ACB><U+5B9A><U+671F><U+7EDF><U+8BA1><U+65B9><U+6848>,<U+4EE5><U+786E><U+4FDD><U+66F4><U+5927><U+7684><U+8D23><U+4EFB><U+611F><U+548C><U+6574><U+4E2A><U+57CE><U+5E02><U+7684><U+653F><U+5E9C><U+66F4><U+516C><U+5E73><U+7684><U+670D><U+52A1><U+4EA4><U+4ED8><U+3002>"
"Restore recycling services, which were suspended due to COVID-19.","<U+8FD8><U+539F><U+56DE><U+6536><U+670D><U+52A1>,<U+8FD9><U+88AB><U+6682><U+505C>,<U+539F><U+56E0><U+662F>COVID-19<U+3002>"
"Announce plan to reform the water billing program.","<U+5BA3><U+5E03><U+8BA1><U+5212><U+4EE5><U+6539><U+9769><U+6C34><U+7684><U+8BA1><U+8D39><U+7A0B><U+5E8F><U+3002>"
"Appoint a permanent Housing Commissioner.","<U+4EFB><U+547D><U+4E00><U+4E2A><U+6C38><U+4E45><U+6027><U+4F4F><U+623F><U+4E13><U+5458><U+3002>"
"Appoint a permanent Homeless Services director.","<U+4EFB><U+547D><U+4E00><U+4F4D><U+5E38><U+9A7B><U+65E0><U+5BB6><U+53EF><U+5F52><U+8005><U+670D><U+52A1><U+603B><U+76D1><U+3002>"
"Initiate a Fix-it First campaign to fill backlog of transportation and infrastructure related 311 service requests, particularly where there has historically been a longer response time.","<U+542F><U+52A8><U+4FEE><U+590D>,<U+5B83><U+9996><U+5148><U+8FD0><U+52A8>,<U+4EA4><U+901A><U+548C><U+57FA><U+7840><U+8BBE><U+65BD><U+7684><U+586B><U+5145><U+79EF><U+538B>311<U+4E2A><U+76F8><U+5173><U+7684><U+670D><U+52A1><U+8BF7><U+6C42>,<U+7279><U+522B><U+662F><U+5728><U+6709><U+66FE><U+7ECF><U+662F><U+4E00><U+4E2A><U+8F83><U+957F><U+7684><U+54CD><U+5E94><U+65F6><U+95F4><U+3002>"
"Publish a clear and concise set of procedures to apply for and receive city-owned properties for development.","<U+53D1><U+8868><U+4E00><U+4E2A><U+6E05><U+6670>,<U+7B80><U+660E><U+7684><U+4E00><U+5957><U+7A0B><U+5E8F><U+7533><U+8BF7><U+548C><U+53D1><U+5C55><U+53D7><U+5230><U+5E02><U+62E5><U+6709><U+7684><U+8D22><U+4EA7><U+3002>"
"Make stronger commitments to cleaning up sewage backups.","<U+8BF7><U+5BF9><U+6E05><U+7406><U+6C61><U+6C34><U+5907><U+4EFD><U+66F4><U+575A><U+5B9A><U+7684><U+627F><U+8BFA><U+3002>"
"Develop and communicate a COVID-19 vaccination prioritization strategy.","<U+5236><U+5B9A><U+5E76><U+4F20><U+8FBE>COVID-19<U+75AB><U+82D7><U+63A5><U+79CD><U+4F18><U+5148><U+6218><U+7565><U+3002>"
"Create a dashboard to track CARES act funding to ensure equitable distribution.","<U+521B><U+5EFA><U+4EEA><U+8868><U+677F><U+4EE5><U+8DDF><U+8E2A>CARES<U+884C><U+52A8><U+8D44><U+91D1>,<U+4EE5><U+786E><U+4FDD><U+516C><U+5E73><U+5206><U+914D><U+3002>"
"Use Rapid Rehousing CARES Act dollars to move 500 people and families to more permanent housing.","<U+4F7F><U+7528><U+5FEB><U+901F><U+5B89><U+7F6E><U+5728><U+4E4E><U+6CD5><U+6848><U+5143><U+79FB><U+52A8>500<U+4EBA><U+53CA><U+5BB6><U+5EAD><U+8F83><U+957F><U+671F><U+7684><U+4F4F><U+623F><U+3002>"
"Extend emergency shelter in local hotels when CARES Act funding expires.","<U+5EF6><U+957F><U+7D27><U+6025><U+907F><U+96BE><U+6240><U+5728><U+5F53><U+5730><U+9152><U+5E97><U+65F6>CARES<U+6CD5><U+6848><U+8D44><U+91D1><U+5230><U+671F><U+3002>"
"Cap restaurant delivery fees on third-party app services.","<U+5728><U+7B2C><U+4E09><U+65B9><U+5E94><U+7528><U+670D><U+52A1><U+5E3D><U+9910><U+5385><U+9001><U+8D27><U+8D39><U+3002>"
"Identify clear point of contact for local businesses to more effectively navigate city government.","<U+786E><U+5B9A><U+4E3A><U+5F53><U+5730><U+4F01><U+4E1A><U+63A5><U+89E6><U+7684><U+660E><U+786E><U+7684><U+6307><U+5411>,<U+66F4><U+6709><U+6548><U+5BFC><U+822A><U+5E02><U+653F><U+5E9C><U+3002>"
"Begin holistic, top-to-bottom assessment of city agencies and process to inventory city property.","<U+5F00><U+59CB><U+5168><U+9762><U+7684>,<U+4ECE><U+9AD8><U+7AEF><U+5230><U+4F4E><U+7AEF><U+7684><U+57CE><U+5E02><U+673A><U+6784><U+548C><U+8FC7><U+7A0B><U+7684><U+8BC4><U+4F30>,<U+76D8><U+70B9><U+57CE><U+5E02><U+5C5E><U+6027><U+3002>"
"Begin a holistic review of tax credits to address inefficiencies, redundancies, or new credits that would build a more equitable city.","<U+5F00><U+59CB><U+7684><U+7A0E><U+6536><U+62B5><U+514D>,<U+4EE5><U+89E3><U+51B3><U+4F4E><U+6548><U+7387>,<U+5197><U+4F59>,<U+6216><U+8005><U+65B0><U+7684><U+5B66><U+5206>,<U+5C06><U+5EFA><U+7ACB><U+4E00><U+4E2A><U+66F4><U+516C><U+5E73><U+7684><U+57CE><U+5E02><U+5168><U+9762><U+68C0><U+8BA8><U+3002>"
"Announce new criteria for evaluation of capital budget requests.","<U+5BA3><U+5E03><U+8D44><U+91D1><U+9884><U+7B97><U+8BF7><U+6C42><U+8BC4><U+4F30><U+7684><U+65B0><U+6807><U+51C6><U+3002>"
"Expand community engagement in the budget process.","<U+5C55><U+5F00><U+5728><U+9884><U+7B97><U+8FC7><U+7A0B><U+4E2D><U+7684><U+793E><U+533A><U+53C2><U+4E0E><U+3002>"
"Commit to updating the City's 10-year financial plan.","<U+627F><U+8BFA><U+66F4><U+65B0><U+57CE><U+5E02><U+7684>10<U+5E74><U+8D22><U+653F><U+8BA1><U+5212><U+3002>"
"Design and release Open Checkbook for Baltimore to increase transparency and accountability.","<U+8BBE><U+8BA1><U+548C><U+91CA><U+653E><U+6253><U+5F00><U+652F><U+7968><U+7C3F><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+589E><U+52A0><U+900F><U+660E><U+5EA6><U+548C><U+95EE><U+8D23><U+5236><U+3002>"
"Mayor's Office of Neighborhood Safety & Engagement","<U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Baltimore Police Department","<U+5DF4><U+5C14><U+7684><U+6469><U+8B66><U+5BDF><U+5C40>"
"Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Health Department, Baltimore Police Department","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+536B><U+751F><U+5C40>,<U+5DF4><U+5C14><U+7684><U+6469><U+8B66><U+5BDF><U+5C40>"
"Baltimore City Department of Housing & Community Development","<U+4F4F><U+623F><U+548C><U+793E><U+533A><U+53D1><U+5C55><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Department of Transportation","<U+8FD0><U+8F93><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+4EA4><U+901A><U+5C40>"
"Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement","<U+5DF4><U+5C14><U+7684><U+6469><U+8B66><U+5BDF><U+5C40>,<U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Department of Public Works, Baltimore City Department of Housing & Community Development, Baltimore City Health Department","<U+5DF4><U+5C14><U+7684><U+6469><U+8B66><U+5BDF><U+5C40>,<U+90BB><U+91CC><U+5B89><U+5168><U+4E0E><U+53C2><U+4E0E>,<U+516C><U+5171><U+5DE5><U+7A0B><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>,<U+4F4F><U+623F><U+548C><U+793E><U+533A><U+53D1><U+5C55><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>,<U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+536B><U+751F><U+5C40><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Mayor's Office","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Mayor's Office, Baltimore City Office of Equity & Civil Rights","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+80A1><U+6743><U+548C><U+6C11><U+6743><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+529E><U+4E8B><U+5904>"
"Mayor's Office, Baltimore City Department of Planning","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+89C4><U+5212><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Department of Finance","<U+8D22><U+653F><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Mayor's Office, Baltimore City Department of Housing & Community Development","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+4F4F><U+623F><U+548C><U+793E><U+533A><U+53D1><U+5C55><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Department of Housing & Community Development, Mayor's Office of Performance & Innovation","<U+4F4F><U+623F><U+548C><U+793E><U+533A><U+53D1><U+5C55>,<U+6027><U+80FD><U+548C><U+521B><U+65B0><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Department of Finance, Baltimore City Bureau of Procurement","<U+8D22><U+653F><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>,<U+91C7><U+8D2D><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore Development Corporation","<U+5DF4><U+5C14><U+7684><U+6469><U+5F00><U+53D1><U+516C><U+53F8>"
"Baltimore City Department of Human Resources","<U+4EBA><U+529B><U+8D44><U+6E90><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Department of Planning, Baltimore City Department of Transportation, Baltimore City Department of Recreation & Parks","<U+89C4><U+5212><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+90E8>,<U+8FD0><U+8F93><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+4EA4><U+901A><U+5C40>,<U+5A31><U+4E50><U+4E0E><U+516C><U+56ED><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Department of Planning","<U+89C4><U+5212><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Mayor's Office, Maryland General Assembly","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+9A6C><U+91CC><U+5170><U+5DDE><U+8BAE><U+4F1A>"
"Mayor's Office of Employment Development","<U+5C31><U+4E1A><U+53D1><U+5C55><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Baltimore City Health Department, Mayor's Office of Neighborhood Safety & Engagement","<U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+536B><U+751F><U+5C40>,<U+90BB><U+91CC><U+5B89><U+5168><U+548C><U+53C2><U+4E0E><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Baltimore City Department of Recreation & Parks","<U+5A31><U+4E50><U+4E0E><U+516C><U+56ED><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Mayor's Office of Performance & Innovation","<U+6027><U+80FD><U+548C><U+521B><U+65B0><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Baltimore City Department of Public Works","<U+516C><U+5171><U+5DE5><U+7A0B><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Mayor's Office of Homeless Services","<U+65E0><U+5BB6><U+53EF><U+5F52><U+8005><U+670D><U+52A1><U+7684><U+5E02><U+957F><U+529E><U+516C><U+5BA4>"
"Baltimore City Department of Public Works, Baltimore City Department of Transportation","<U+516C><U+5171><U+5DE5><U+7A0B><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+90E8>,<U+8FD0><U+8F93><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+4EA4><U+901A><U+5C40>"
"Baltimore City Health Department","<U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+536B><U+751F><U+5C40>"
"Mayor's Office, Baltimore Development Corporation","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+5DF4><U+5C14><U+7684><U+6469><U+5F00><U+53D1><U+516C><U+53F8>"
"Baltimore City Department of General Services","<U+603B><U+52A1><U+5904><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Mayor's Office, Baltimore City Department of Finance","<U+5E02><U+957F><U+529E><U+516C><U+5BA4>,<U+8D22><U+52A1><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Baltimore City Information & Technology, Baltimore City Department of Finance","<U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+4FE1><U+606F><U+6280><U+672F>,<U+91D1><U+878D><U+7684><U+5DF4><U+5C14><U+7684><U+6469><U+5E02><U+6559><U+80B2><U+5C40>"
"Complete","<U+5B8C><U+6210>"
"Not Yet Started","<U+8FD8><U+6CA1><U+5F00><U+59CB>"
"In Progress","<U+8FDB><U+884C><U+4E2D>"
"Priorities & Progress","<U+4F18><U+5148><U+7EA7><U+548C><U+8FDB><U+7A0B>"
"Download this data (csv)","<U+4E0B><U+8F7D><U+6B64><U+6570><U+636E>(CSV)"
"About this Initiative","<U+5173><U+4E8E><U+8FD9><U+4E2A><U+5021><U+8BAE>"
"Resources & Feedback","<U+8D44><U+6E90><U+4E0E><U+53CD><U+9988>"
