"","en","es"
"1","Building Public Safety","Edificio de Seguridad Pública"
"2","Making Baltimore Equitable","Haciendo Baltimore equitativa"
"3","Prioritizing Our Youth","Priorización de nuestra juventud"
"4","Building Public Trust","Fomento de la confianza pública"
"5","Building Public Trust",NA
"6","COVID-19 Recovery",NA
"7","Responsible Stewardship of City Resources",NA
"8","Create Mayor's Office of Neighborhood Safety and Engagement.","Crear la Oficina de Seguridad de la Comunidad y el compromiso del Alcalde."
"9","Establish monthly PoliceStat meetings to build stronger accountability within BPD and improve service delivery.","Establecer reuniones mensuales PoliceStat para construir mayor responsabilidad dentro de la DBP y mejorar la prestación de servicios."
"10","Set clear, coordinated public safety vision that addresses violence today and root causes.","Establecer, coordinado visión clara de seguridad pública que aborda la violencia hoy en día y las causas."
"11","Task Mayor's Office of Neighborhood Safety and Engagement with coordinating public safety strategy.","Es tarea Alcalde Oficina de Seguridad de la Comunidad y de compromiso con la coordinación de la estrategia de seguridad pública."
"12","Introduce local housing voucher program.","Introducir programa de vales de vivienda local."
"13","Adopt and support Complete Streets manual increase quality of life and mobility in Baltimore.","Adoptar y apoyar Calles Completas aumento manual de la calidad de vida y la movilidad en Baltimore."
"14","Begin implementing a Group Violence Reduction Strategy.","Empezar a aplicar una estrategia de lucha contra la violencia de grupo."
"15","Proactively deploy City agencies to address environmental concerns that contribute to neighborhood safety.","Proactivamente implementar organismos municipales para abordar las preocupaciones ambientales que contribuyen a la seguridad del vecindario."
"16","Meet with community leaders and residents around a shared vision for public safety.","Se reúnen con líderes de la comunidad y los residentes en torno a una visión compartida para la seguridad pública."
"17","Convene the first meeting of the Public Safety Advisory Commission.","Convocar la primera reunión de la Comisión Asesora de Seguridad Pública."
"18","Hire Baltimore's first Chief Equity Officer.","Contratar primer director de la equidad de Baltimore."
"19","Hire a Digital Equity Director.","Contratar a un Director de equidad digital."
"20","Identify a senior official in each agency to be responsible for equity and sustainable action.","Identificar un alto funcionario en cada agencia que es responsable de la equidad y la acción sostenible."
"21","Commit to Baltimore's zero waste goals and begin shifts toward a more sustainable city.","Comprometerse con los objetivos de desecho de Baltimore cero y comenzar los cambios hacia una ciudad más sostenible."
"22","Elevate Sustainability Director to a cabinet-level position.","Directora de Sostenibilidad Elevar a una posición a nivel de gabinete."
"23","Remove the most vulnerable residents from tax sale.","Retire los residentes más vulnerables de la venta de impuestos."
"24","Announce a back-to-basics community development strategy that centers community input.","Anunciar una estrategia de desarrollo comunitario volver a lo básico de que la entrada de la comunidad centros."
"25","Create a Neighborhood Stat to track progress on retention, attraction, and growth in neighborhoods.","Crear un Stat Barrio pista al progreso en la retención, atracción, y el crecimiento en los barrios."
"26","Begin top-to-bottom review of the procurement process.","Comience arriba a abajo revisión del proceso de adquisición."
"27","Activate small and local business preference in the procurement process.","Activar la preferencia pequeñas y locales de negocios en el proceso de adquisición."
"28","Prioritize tracking data for City developments and projects that receive TIFs around local hiring and workforce development.","Dar prioridad a los datos de seguimiento de la evolución de la ciudad y los proyectos que reciben TIF alrededor de la contratación local y el desarrollo del personal."
"29","Establish a Hiring Task Force to review HR practices, policy interventions, best practices, and barriers through a lens of equity and meet workforce needs.","Establecer un Grupo de Trabajo Contratación para revisar las prácticas de recursos humanos, las intervenciones políticas, mejores prácticas, y las barreras a través de una lente de las necesidades de capital y mano de obra se encuentran."
"30","Establish a resident preference program for City jobs.","Establecer un programa de preferencias residente de trabajos de la ciudad."
"31","Prioritize the Baltimore Greenway Trails Network.","Dar prioridad a la Red de Senderos Baltimore Greenway."
"32","Join Climate Mayors in supporting the spirit and goals of the Paris Climate Agreement.","Unirse a Alcaldes Clima en apoyar el espíritu y los objetivos del Acuerdo Climático París."
"33","Support the overrides of the Blueprint for Maryland's Future and Built to Learn.","Apoyar las sustituciones del Plan para el Futuro de Maryland y construido para aprender."
"34","Prepare to significantly increase the capacity of virtual YouthWorks in 2021.","Prepárese para aumentar significativamente la capacidad de YouthWorks virtuales en 2021."
"35","Begin implementation of the Elijah Cummings Healing City Act to ensure trauma-informed practice across city government.","Iniciar la aplicación de la Ley de la Ciudad de Elijah Cummings curación para garantizar la práctica trauma informado en todo el gobierno de la ciudad."
"36","Develop plan for equitable and age-appropriate access in partnership with sports, arts, and cultural institutions that create recreational services during this unprecedented pandemic.","Desarrollar un plan para el acceso equitativo y apropiado para la edad en asociación con los deportes, las artes y las instituciones culturales que crean los servicios de esparcimiento durante esta pandemia sin precedentes."
"37","Hire Baltimore's first Chief Administrative Officer.","Contratar primer jefe administrativo de Baltimore."
"38","Kick off community engagement plan to introduce Chief Administrative Officer and other senior officials to public.","Kick off plan de participación comunitaria para introducir Gerente de Administración y otros funcionarios de alto nivel para el público."
"39","Establish a regular Stat program to ensure greater accountability and more equitable service delivery across City government.","Establecer un programa regular de estadísticas para asegurar una mayor responsabilidad y la prestación de servicios más equitativa en todo el gobierno de la ciudad."
"40","Restore recycling services, which were suspended due to COVID-19.","Restaurar servicios de reciclaje, que fueron suspendidas debido a COVID-19."
"41","Announce plan to reform the water billing program.","Anuncian plan para reformar el programa de facturación de agua."
"42","Appoint a permanent Housing Commissioner.","Nombrar un Comisionado de Vivienda permanente."
"43","Appoint a permanent Homeless Services director.","Nombrar a un director de servicios para personas sin hogar permanente."
"44","Initiate a Fix-it First campaign to fill backlog of transportation and infrastructure related 311 service requests, particularly where there has historically been a longer response time.","Iniciar una Fix-it Primera campaña de acumulación de llenado del transporte y la infraestructura relacionada con las solicitudes de 311 servicios, en particular en los que ha sido históricamente un tiempo de respuesta más largo."
"45","Publish a clear and concise set of procedures to apply for and receive city-owned properties for development.",NA
"46","Make stronger commitments to cleaning up sewage backups.",NA
"47","Develop and communicate a COVID-19 vaccination prioritization strategy.",NA
"48","Create a dashboard to track CARES act funding to ensure equitable distribution.",NA
"49","Use Rapid Rehousing CARES Act dollars to move 500 people and families to more permanent housing.",NA
"50","Extend emergency shelter in local hotels when CARES Act funding expires.",NA
"51","Cap restaurant delivery fees on third-party app services.",NA
"52","Identify clear point of contact for local businesses to more effectively navigate city government.",NA
"53","Begin holistic, top-to-bottom assessment of city agencies and process to inventory city property.",NA
"54","Begin a holistic review of tax credits to address inefficiencies, redundancies, or new credits that would build a more equitable city.",NA
"55","Announce new criteria for evaluation of capital budget requests.",NA
"56","Expand community engagement in the budget process.",NA
"57","Commit to updating the City's 10-year financial plan.",NA
"58","Design and release Open Checkbook for Baltimore to increase transparency and accountability.",NA
"59","Mayor's Office of Neighborhood Safety & Engagement","Oficina de Seguridad y Barrio de compromiso del Alcalde"
"60","Baltimore Police Department","Departamento de Policía de Baltimore"
"61","Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Health Department, Baltimore Police Department","Oficina del Alcalde, Oficina de Seguridad y Barrio de compromiso del Alcalde, Baltimore Departamento de Salud de la Ciudad, Departamento de Policía de Baltimore"
"62","Baltimore City Department of Housing & Community Development","Baltimore Departamento de Vivienda y Desarrollo Comunitario de la Ciudad"
"63","Baltimore City Department of Transportation","Departamento de Transporte de la ciudad de Baltimore"
"64","Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement","Departamento de Policía de Baltimore, Oficina de Seguridad y Barrio de compromiso del Alcalde"
"65","Baltimore Police Department, Mayor's Office of Neighborhood Safety & Engagement, Baltimore City Department of Public Works, Baltimore City Department of Housing & Community Development, Baltimore City Health Department","Departamento de Policía de Baltimore, Oficina del Barrio de Seguridad y Participación, Baltimore Departamento de Obras Públicas de la ciudad, Baltimore Departamento de Vivienda y Desarrollo Comunitario de la Ciudad, Baltimore Departamento de Salud de la Ciudad de Alcalde"
"66","Mayor's Office, Mayor's Office of Neighborhood Safety & Engagement","Oficina del Alcalde, Oficina de Seguridad y Barrio de compromiso del Alcalde"
"67","Mayor's Office","La oficina del alcalde"
"68","Mayor's Office, Baltimore City Office of Equity & Civil Rights","Oficina del Alcalde, Baltimore Oficina de la Ciudad de acciones y derechos civiles"
"69","Mayor's Office, Baltimore City Department of Planning","Oficina del Alcalde, Departamento de Planificación de la ciudad de Baltimore"
"70","Baltimore City Department of Finance","Departamento de Finanzas de la Ciudad de Baltimore"
"71","Mayor's Office, Baltimore City Department of Housing & Community Development","Oficina del Alcalde, Baltimore Departamento de Vivienda y Desarrollo Comunitario de la Ciudad"
"72","Baltimore City Department of Housing & Community Development, Mayor's Office of Performance & Innovation","Baltimore Departamento de Vivienda y Desarrollo Comunitario, Oficina de Evaluación de la Innovación y del Alcalde de la ciudad"
"73","Baltimore City Department of Finance, Baltimore City Bureau of Procurement","Baltimore Departamento de Finanzas de la Ciudad, Oficina de la ciudad de Baltimore de Contratación"
"74","Baltimore Development Corporation","Development Corporation de Baltimore"
"75","Baltimore City Department of Human Resources","Baltimore Departamento de Recursos Humanos de la Ciudad"
"76","Baltimore City Department of Planning, Baltimore City Department of Transportation, Baltimore City Department of Recreation & Parks","Baltimore City Departamento de Planificación, Departamento de Transporte de Baltimore City, Baltimore Departamento de Parques y Recreación de la Ciudad"
"77","Baltimore City Department of Planning","Departamento de Planificación de la ciudad de Baltimore"
"78","Mayor's Office, Maryland General Assembly","Oficina del Alcalde, Asamblea General de Maryland"
"79","Mayor's Office of Employment Development","Oficina de Desarrollo de Empleo del Alcalde"
"80","Baltimore City Health Department, Mayor's Office of Neighborhood Safety & Engagement","Baltimore Departamento de Salud de la Ciudad, Oficina de Seguridad y Barrio de compromiso del Alcalde"
"81","Baltimore City Department of Recreation & Parks","Baltimore Departamento de Parques y Recreación de la Ciudad"
"82","Mayor's Office of Performance & Innovation","Oficina de Evaluación de la Innovación y del Alcalde"
"83","Baltimore City Department of Public Works","Baltimore Departamento de Obras Públicas de la ciudad"
"84","Mayor's Office of Homeless Services","Oficina de Servicios para Desamparados del Alcalde"
"85","Baltimore City Department of Public Works, Baltimore City Department of Transportation","Baltimore Departamento de Obras Públicas de la ciudad, Departamento de Transporte de la ciudad de Baltimore"
"86","Baltimore City Department of Housing & Community Development",NA
"87","Baltimore City Department of Public Works",NA
"88","Baltimore City Health Department",NA
"89","Baltimore City Department of Finance",NA
"90","Mayor's Office of Homeless Services",NA
"91","Mayor's Office, Baltimore Development Corporation",NA
"92","Baltimore City Department of General Services",NA
"93","Mayor's Office, Baltimore City Department of Finance",NA
"94","Baltimore City Information & Technology, Baltimore City Department of Finance",NA
"95","Complete","Completar"
"96","Not Yet Started","Todavía no empezado"
"97","In Progress","En progreso"
"98","Not Yet Started",NA
"99","Complete",NA
"100","In Progress",NA
